respondentid,seen_bool,fan_bool,seen_1,seen_2,seen_3,seen_4,seen_5,seen_6,ranking_1,ranking_2,ranking_3,ranking_4,ranking_5,ranking_6,expanded_universe_aware,expanded_universe_fan,star_trek_fan,gender,age,household_income,education,location
3292879998.0,True,True,True,True,True,True,True,True,3.0,2.0,1.0,4.0,5.0,6.0,True,False,False,Male,18-29,,High school degree,South Atlantic
3292879538.0,False,False,False,False,False,False,False,False,,,,,,,,,True,Male,18-29,"$0 - $24,999",Bachelor degree,West South Central
3292765271.0,True,False,True,True,True,False,False,False,1.0,2.0,3.0,4.0,5.0,6.0,False,,False,Male,18-29,"$0 - $24,999",High school degree,West North Central
3292763116.0,True,True,True,True,True,True,True,True,5.0,6.0,1.0,2.0,4.0,3.0,False,,True,Male,18-29,"$100,000 - $149,999",Some college or Associate degree,West North Central
3292731220.0,True,True,True,True,True,True,True,True,5.0,4.0,6.0,2.0,1.0,3.0,True,False,False,Male,18-29,"$100,000 - $149,999",Some college or Associate degree,West North Central
3292719380.0,True,True,True,True,True,True,True,True,1.0,4.0,3.0,6.0,5.0,2.0,True,False,True,Male,18-29,"$25,000 - $49,999",Bachelor degree,Middle Atlantic
3292684787.0,True,True,True,True,True,True,True,True,6.0,5.0,4.0,3.0,1.0,2.0,True,False,False,Male,18-29,,High school degree,East North Central
3292663732.0,True,True,True,True,True,True,True,True,4.0,5.0,6.0,3.0,2.0,1.0,False,,True,Male,18-29,,High school degree,South Atlantic
3292654043.0,True,True,True,True,True,True,True,True,5.0,4.0,6.0,2.0,1.0,3.0,False,,False,Male,18-29,"$0 - $24,999",Some college or Associate degree,South Atlantic
3292640424.0,True,False,False,True,False,False,False,False,1.0,2.0,3.0,4.0,5.0,6.0,False,,False,Male,18-29,"$25,000 - $49,999",Some college or Associate degree,Pacific
3292637870.0,True,False,False,False,False,False,False,False,,,,,,,,,,,,,,
3292635062.0,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,
